cluster_id,trial_index,completion_rate,destroyed_value,total_value,surviving_attack_uavs,mean_hit_probability,distance_consumption
0,43,1.0,2.0,2.0,1.0,0.6380263937817165,1.0
0,44,0.5,1.0,2.0,1.0,0.5098306328900079,1.0
0,45,1.0,2.0,2.0,1.0,0.6497309717738181,1.0
0,46,0.5,1.0,2.0,1.0,0.5722730234570055,1.0
0,47,1.0,2.0,2.0,1.0,0.6047132206527892,1.0
0,48,1.0,2.0,2.0,1.0,0.5723811729747584,1.0
0,49,1.0,2.0,2.0,1.0,0.5980839150278052,1.0
0,50,1.0,2.0,2.0,1.0,0.5901364765802064,1.0
0,51,0.5,1.0,2.0,1.0,0.5878753422504965,1.0
0,52,0.5,1.0,2.0,1.0,0.5399330048069064,1.0
0,53,0.5,1.0,2.0,1.0,0.5670938739894439,1.0
0,54,0.5,1.0,2.0,1.0,0.5634976905296409,1.0
0,55,0.0,0.0,2.0,1.0,0.5954551480644802,1.0
0,56,1.0,2.0,2.0,1.0,0.6654677617012216,1.0
0,57,0.5,1.0,2.0,1.0,0.5720034510723744,1.0
0,58,1.0,2.0,2.0,1.0,0.6189822930515927,1.0
0,59,1.0,2.0,2.0,1.0,0.5527493151479304,1.0
0,60,1.0,2.0,2.0,1.0,0.5924997647073065,1.0
0,61,0.0,0.0,2.0,1.0,0.5975270459522544,1.0
0,62,0.5,1.0,2.0,1.0,0.6519769927487773,1.0
0,63,1.0,2.0,2.0,1.0,0.5956408416178157,1.0
0,64,0.5,1.0,2.0,1.0,0.6058121993660719,1.0
0,65,0.5,1.0,2.0,1.0,0.5453213356251287,1.0
0,66,0.0,0.0,2.0,0.0,0.0,0.0
0,67,0.5,1.0,2.0,1.0,0.6295813315618639,1.0
0,68,0.0,0.0,2.0,0.0,0.0,0.0
0,69,0.5,1.0,2.0,1.0,0.6439715318265222,1.0
0,70,1.0,2.0,2.0,1.0,0.6334635941757591,1.0
0,71,0.5,1.0,2.0,1.0,0.5909743638168483,1.0
0,72,1.0,2.0,2.0,1.0,0.6162797997618772,1.0
0,73,1.0,2.0,2.0,1.0,0.5284538972036625,1.0
0,74,0.5,1.0,2.0,1.0,0.5595756157515241,1.0
0,75,0.0,0.0,2.0,0.0,0.0,0.0
0,76,1.0,2.0,2.0,1.0,0.6256376888946233,1.0
0,77,1.0,2.0,2.0,1.0,0.5814413685941506,1.0
0,78,1.0,2.0,2.0,1.0,0.6151817067165223,1.0
0,79,1.0,2.0,2.0,1.0,0.5927754280828004,1.0
0,80,0.0,0.0,2.0,1.0,0.6653174935054889,1.0
0,81,0.5,1.0,2.0,1.0,0.6356038642710988,1.0
0,82,0.0,0.0,2.0,0.0,0.0,0.0
0,83,1.0,2.0,2.0,1.0,0.6018179560912993,1.0
0,84,0.5,1.0,2.0,1.0,0.6007262100739069,1.0
0,85,1.0,2.0,2.0,1.0,0.599742166291285,1.0
0,86,1.0,2.0,2.0,1.0,0.600506671966883,1.0
0,87,0.5,1.0,2.0,1.0,0.6021630982323201,1.0
0,88,0.5,1.0,2.0,1.0,0.5837149097835989,1.0
0,89,1.0,2.0,2.0,1.0,0.5556654928526922,1.0
0,90,0.0,0.0,2.0,1.0,0.5633954238926697,1.0
0,91,0.0,0.0,2.0,1.0,0.5518201673246443,1.0
0,92,0.0,0.0,2.0,0.0,0.0,0.0
0,93,0.5,1.0,2.0,1.0,0.5441243412131962,1.0
0,94,0.5,1.0,2.0,1.0,0.5508990415523778,1.0
0,95,0.5,1.0,2.0,1.0,0.6085872429276515,1.0
0,96,0.5,1.0,2.0,1.0,0.5709462385567001,1.0
0,97,0.0,0.0,2.0,1.0,0.6365918568379938,1.0
0,98,0.5,1.0,2.0,1.0,0.6187793423015497,1.0
0,99,1.0,2.0,2.0,1.0,0.5558581164930851,1.0
0,100,0.0,0.0,2.0,1.0,0.5450723617296538,1.0
0,101,1.0,2.0,2.0,1.0,0.626191280557759,1.0
0,102,1.0,2.0,2.0,1.0,0.6495344828743977,1.0
0,103,0.0,0.0,2.0,0.0,0.0,0.0
0,104,0.5,1.0,2.0,1.0,0.5900024384413448,1.0
0,105,0.5,1.0,2.0,1.0,0.5950185685492624,1.0
0,106,0.5,1.0,2.0,1.0,0.6057906863867467,1.0
0,107,0.5,1.0,2.0,1.0,0.5280344971766893,1.0
0,108,0.5,1.0,2.0,1.0,0.5963299482555826,1.0
0,109,0.5,1.0,2.0,1.0,0.5582414736366947,1.0
0,110,0.5,1.0,2.0,1.0,0.6360604059474166,1.0
0,111,0.5,1.0,2.0,1.0,0.642869543164002,1.0
0,112,1.0,2.0,2.0,1.0,0.5550436109253715,1.0
0,113,1.0,2.0,2.0,1.0,0.5768014616074664,1.0
0,114,1.0,2.0,2.0,1.0,0.630131720311784,1.0
0,115,1.0,2.0,2.0,1.0,0.6397089955999239,1.0
0,116,0.5,1.0,2.0,1.0,0.5977418564158304,1.0
0,117,0.0,0.0,2.0,1.0,0.6478381061955025,1.0
0,118,0.5,1.0,2.0,1.0,0.5077163036245143,1.0
0,119,0.0,0.0,2.0,1.0,0.6287666824443667,1.0
